src,width,height,frames,fps,duration_s,mean_luma,mean_luma_std,mean_frame_diff,red_pixel_fraction,suspect
assets/videos/kimodo_failure_candidates_review/torque_root__hrb_048_lean_left_reach__root5616N.mp4,640,360,199,50.0,3.98,68.707,14.549,7.404,0.009476,
assets/videos/kimodo_failure_candidates_review/self_contact__hrb_076_narrow_stance__self100pct.mp4,640,360,199,50.0,3.98,68.255,11.946,1.294,0.010117,
assets/videos/kimodo_failure_candidates_review/support_proxy__hrb_085_step_over_right__support14pct.mp4,640,360,199,50.0,3.98,68.617,14.059,10.698,0.007386,
assets/videos/kimodo_failure_candidates_review/torque__hrb_025_air_guitar__torque2p96x.mp4,640,360,199,50.0,3.98,68.468,13.058,5.796,0.010948,
assets/videos/kimodo_failure_candidates_review/self_contact__hrb_066_single_leg_balance_left__self40pct.mp4,640,360,199,50.0,3.98,68.635,13.241,4.169,0.011491,
assets/videos/kimodo_failure_candidates_review/trackability__hrb_051_carry_box__fell2p78s.mp4,640,360,199,50.0,3.98,68.512,14.34,10.911,0.005723,
assets/videos/kimodo_success_candidates_review/success__hrb_071_ankle_sway__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.323,12.125,2.447,0.010569,
assets/videos/kimodo_success_candidates_review/success__hrb_075_catch_balance_arms__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.316,12.335,5.554,0.01053,
assets/videos/kimodo_success_candidates_review/success__hrb_016_moonwalk__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.425,13.208,9.283,0.006118,
assets/videos/kimodo_success_candidates_review/success__hrb_021_celebration_pump__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.31,12.313,2.8,0.010996,
assets/videos/kimodo_success_candidates_review/success__hrb_054_push_cart__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.875,15.417,12.236,0.008614,
assets/videos/kimodo_success_candidates_review/success__hrb_057_close_door__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.497,13.016,4.728,0.013096,
assets/videos/kimodo_success_candidates_review/success__hrb_058_handoff_give__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.324,12.403,2.888,0.010527,
assets/videos/kimodo_success_candidates_review/success__hrb_041_reach_overhead__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.45,12.934,4.502,0.011841,
assets/videos/kimodo_success_candidates_review/success__hrb_045_screwdriver_twist__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.405,12.919,2.682,0.011294,
assets/videos/kimodo_success_candidates_review/success__hrb_050_scan_package__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.41,12.887,2.341,0.011714,
assets/videos/kimodo_success_candidates_review/success__hrb_082_yield_step__physical_pass_no_fall.mp4,640,360,199,50.0,3.98,68.522,13.591,10.776,0.008263,
