kind,group,prompt_id,short,label,video,poster
repair_pair,dance_expressive,hrb_024,scared_sneak,delta risk -8.8; __YES__->__YES__,assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_024_scared_sneak__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/dance_expressive/repair_delta__hrb_024_scared_sneak__yes_to_yes.jpg
repair_pair,dance_expressive,hrb_022,disco_point,delta risk -8.3; __NO__->__NO__,assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_022_disco_point__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dance_expressive/repair_delta__hrb_022_disco_point__no_to_no.jpg
repair_pair,dance_expressive,hrb_016,moonwalk,delta risk -2.9; __YES__->__YES__,assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_016_moonwalk__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/dance_expressive/repair_delta__hrb_016_moonwalk__yes_to_yes.jpg
repair_pair,dynamic_locomotion,hrb_002,backward_walk,delta risk -21.2; __NO__->__YES__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_002_backward_walk__no_to_yes.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_002_backward_walk__no_to_yes.jpg
repair_pair,dynamic_locomotion,hrb_001,forward_walk,delta risk -18.4; __NO__->__NO__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_001_forward_walk__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_001_forward_walk__no_to_no.jpg
repair_pair,dynamic_locomotion,hrb_007,vertical_jump,delta risk -8.2; __NO__->__NO__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_007_vertical_jump__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_007_vertical_jump__no_to_no.jpg
repair_pair,dynamic_locomotion,hrb_012,lateral_bound,delta risk -6.5; __YES__->__YES__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_012_lateral_bound__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_012_lateral_bound__yes_to_yes.jpg
repair_pair,dynamic_locomotion,hrb_004,side_shuffle_right,delta risk -6.0; __NO__->__NO__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_004_side_shuffle_right__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_004_side_shuffle_right__no_to_no.jpg
repair_pair,floor_low_posture,hrb_034,pushup_pose,delta risk -11.0; __YES__->__YES__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_034_pushup_pose__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_034_pushup_pose__yes_to_yes.jpg
repair_pair,floor_low_posture,hrb_029,bear_crawl,delta risk -10.4; __NO__->__NO__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_029_bear_crawl__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_029_bear_crawl__no_to_no.jpg
repair_pair,floor_low_posture,hrb_027,hand_crawl,delta risk -6.4; __NO__->__NO__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_027_hand_crawl__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_027_hand_crawl__no_to_no.jpg
repair_pair,floor_low_posture,hrb_035,sit_to_stand,delta risk -3.1; __NO__->__NO__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_035_sit_to_stand__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_035_sit_to_stand__no_to_no.jpg
repair_pair,floor_low_posture,hrb_036,roll_to_kneel,delta risk -0.7; __NO__->__NO__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_036_roll_to_kneel__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_036_roll_to_kneel__no_to_no.jpg
repair_pair,loco_manipulation,hrb_053,tray_walk,delta risk -21.4; __NO__->__YES__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_053_tray_walk__no_to_yes.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_053_tray_walk__no_to_yes.jpg
repair_pair,loco_manipulation,hrb_051,carry_box_front,delta risk -14.6; __NO__->__YES__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_051_carry_box_front__no_to_yes.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_051_carry_box_front__no_to_yes.jpg
repair_pair,loco_manipulation,hrb_061,carry_turn,delta risk -10.9; __YES__->__YES__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_061_carry_turn__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_061_carry_turn__yes_to_yes.jpg
repair_pair,loco_manipulation,hrb_054,push_cart,delta risk -7.4; __YES__->__YES__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_054_push_cart__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_054_push_cart__yes_to_yes.jpg
repair_pair,loco_manipulation,hrb_062,inspect_machine,delta risk -5.9; __NO__->__NO__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_062_inspect_machine__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_062_inspect_machine__no_to_no.jpg
repair_pair,manipulation_stance,hrb_046,press_panel_sequence,delta risk -6.4; __NO__->__NO__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_046_press_panel_sequence__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_046_press_panel_sequence__no_to_no.jpg
repair_pair,manipulation_stance,hrb_043,wipe_table,delta risk -2.4; __YES__->__YES__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_043_wipe_table__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_043_wipe_table__yes_to_yes.jpg
repair_pair,manipulation_stance,hrb_040,pick_floor_left,delta risk -2.2; __NO__->__NO__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_040_pick_floor_left__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_040_pick_floor_left__no_to_no.jpg
repair_pair,manipulation_stance,hrb_039,pick_floor_right,delta risk -0.3; __NO__->__NO__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_039_pick_floor_right__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_039_pick_floor_right__no_to_no.jpg
repair_pair,manipulation_stance,hrb_049,lean_right_reach,delta risk -0.1; __YES__->__YES__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_049_lean_right_reach__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_049_lean_right_reach__yes_to_yes.jpg
repair_pair,terrain_obstacle,hrb_089,slope_up,delta risk -15.1; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_089_slope_up__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_089_slope_up__no_to_no.jpg
repair_pair,terrain_obstacle,hrb_092,tight_turn_back,delta risk -9.9; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_092_tight_turn_back__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_092_tight_turn_back__no_to_no.jpg
repair_pair,terrain_obstacle,hrb_091,swerve_left,delta risk -9.2; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_091_swerve_left__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_091_swerve_left__no_to_no.jpg
repair_pair,terrain_obstacle,hrb_088,duck_under_bar,delta risk -6.1; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_088_duck_under_bar__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_088_duck_under_bar__no_to_no.jpg
repair_pair,terrain_obstacle,hrb_085,step_over_right,delta risk -5.0; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_085_step_over_right__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_085_step_over_right__no_to_no.jpg
