group,n,mean_risk,median_risk,physical_pass_count,presentation_pass_count,semantic_supported_count,sonic_no_fall_count,mean_sonic_track_seconds,mean_sonic_rmse,mean_selected_minus_k1_track_seconds,mean_selected_minus_k8_track_seconds
selector=risk_verifier_best|category=floor_low_posture,12,38.538243743167406,23.54406786095154,6,1,3,0,2.4683333333333333,0.2623407208377763,0.9550000000000001,0.5883333333333334
selector=risk_verifier_best|category=loco_manipulation,14,0.0,0.0,13,0,0,1,2.2385714285714284,0.2689841045414155,0.30571428571428577,0.0
selector=risk_verifier_best|category=manipulation_stance,12,0.0,0.0,12,0,0,0,1.7433333333333332,0.2689190851451149,-0.41,0.0
selector=risk_verifier_best|category=terrain_obstacle,8,0.0,0.0,8,0,0,0,1.5725,0.32457048941876876,-0.42500000000000004,0.0
selector=risk_verifier_best|semantic=forced_proxy_not_prompt_following,78,8.553988885750737,0.0,69,0,0,8,2.3541025641025644,0.2752026724954289,0.26128205128205134,0.12256410256410256
selector=risk_verifier_best|semantic=supported_proxy,22,8.71201647463423,0.0,20,20,22,7,3.0045454545454557,0.23440666806451949,0.3245454545454546,0.06545454545454547
selector=sonic_verified_best,100,19.763071502521367,8.64844467216609,71,20,22,16,2.7946000000000004,0.2559525670821632,0.5726000000000001,0.40740000000000004
selector=sonic_verified_best|category=athletic_stress,8,65.86290440455068,83.43777247935391,3,0,0,0,2.2325,0.3408073972620354,0.5225,0.5325
selector=sonic_verified_best|category=balance_recovery,12,8.02021884526424,8.64844467216609,11,0,0,6,3.4633333333333334,0.19156353209490862,0.5133333333333333,0.09166666666666667
selector=sonic_verified_best|category=communication_safety,8,7.567389088145328,8.64844467216609,8,7,7,7,4.9675,0.10454109204726182,0.6225,0.0
selector=sonic_verified_best|category=dance_expressive,12,8.731950921403902,0.8589406423240873,9,5,5,1,2.5500000000000003,0.255414871795661,0.5533333333333333,0.39999999999999997
selector=sonic_verified_best|category=dynamic_locomotion,14,10.916901163789422,0.0,12,7,7,0,2.611428571428571,0.3127118564123111,0.6571428571428571,0.3457142857142857
selector=sonic_verified_best|category=floor_low_posture,12,42.652819067596674,45.43561337082574,5,1,3,0,2.5166666666666666,0.2625711434957965,1.0033333333333334,0.6366666666666667
selector=sonic_verified_best|category=loco_manipulation,14,7.916344546294917,0.0,12,0,0,2,2.751428571428572,0.2624270572680329,0.8185714285714287,0.5128571428571428
selector=sonic_verified_best|category=manipulation_stance,12,17.070975637577266,19.803359781152345,8,0,0,0,2.3266666666666667,0.23138662742360447,0.17333333333333334,0.5833333333333334
selector=sonic_verified_best|category=terrain_obstacle,8,25.93597358841034,30.98707252840186,3,0,0,0,2.0625,0.3361612380621847,0.065,0.49
selector=sonic_verified_best|semantic=forced_proxy_not_prompt_following,78,22.09845367334499,8.64844467216609,51,0,0,9,2.698974358974359,0.26597739192702785,0.6061538461538463,0.4674358974358975
selector=sonic_verified_best|semantic=supported_proxy,22,11.483080169601246,8.64844467216609,20,20,22,7,3.1336363636363647,0.22041000626855214,0.45363636363636367,0.19454545454545455
