flag,count,pct,mean_risk,mean_sonic_seconds
physical screen fail,52,52.0,75.10201897178158,2.4496153846153845
SONIC fall,47,47.0,73.25258615500589,1.5855319148936173
torque limit >1x,66,66.0,62.91991969076734,2.56969696969697
high root force >5kN,28,28.000000000000004,109.96020854341725,1.9778571428571428
self-contact >8%,34,34.0,57.59455860972044,2.8041176470588236
non-foot floor contact,11,11.0,217.8142364762698,0.47272727272727266
low foot support,7,7.000000000000001,33.76121621450086,1.877142857142857
contact artifact >0.45,15,15.0,128.25911730835793,2.12
floor penetration >8cm,10,10.0,248.7488532126878,0.39
