method,n,fell_count,mean_track_seconds,median_track_seconds,mean_tracking_rmse,median_tracking_rmse,mean_torque_saturation_frac,mean_track_seconds_delta,median_track_seconds_delta,mean_tracking_rmse_delta,median_tracking_rmse_delta,wilcoxon_seconds_p_greater,wilcoxon_rmse_p_less,mean_full_risk_delta,median_full_risk_delta
K=1_ID_screened,39,36,2.134358974358974,1.68,0.3278450565527578,0.3221710786649462,0.0,,,,,,,,
K=4_ID_screened,39,36,2.132307692307692,1.64,0.34669237085658416,0.3607935762947779,0.0,,,,,,,,
K=8_ID_screened,39,36,2.192820512820513,1.66,0.32931776247087996,0.3264573230176932,0.0,,,,,,,,
K=16_ID_screened,39,36,2.1292307692307695,1.8,0.3145332675814007,0.3177472915126617,0.0,,,,,,,,
SONIC_policy_selector_all_available_K,39,36,2.8333333333333335,2.46,0.2858214147615036,0.2411041609928569,0.0,,,,,,,,
selector_minus_K1,39,,,,,,,0.6989743589743591,0.3600000000000001,-0.042023641791254285,0.0,1.8934412557255595e-06,0.019123418648925923,,
K8_minus_K1,39,,,,,,,0.0584615384615385,0.040000000000000036,0.0014727059181221481,0.00041426609049838303,0.23973988941017088,0.5450430498697546,,
K16_minus_K1,39,,,,,,,-0.005128205128205076,0.19999999999999996,-0.01331178897135708,-0.0073259020866355,0.1029647260473257,0.20548080754730824,,
inverse_dynamics_risk_K8_minus_K1,39,,,,,,,,,,,,,-22.97297229245795,-19.2177458567173
