type,n,aggregate_risk_reduction_pct,mean_risk_reduction_pct_finite_baseline,median_displacement_ratio,median_path_length_ratio,median_speed_ratio,median_joint_rmse_rad,changed_displacement_count
all,39,59.05857655358223,56.94799533930092,1.0,1.0,1.0,0.30523282289505005,15
expressive,12,94.31188643342504,96.24184107665505,1.071607402263955,0.9873889981261617,0.9873889981261617,0.3929753452539444,7
locomotion,18,86.08590430674528,90.28701103536433,1.1623622873650956,1.0044209402053226,1.0044209402053226,0.28159062564373016,7
static,3,-41.527438209228386,-245.07014073630273,1.0,1.0,1.0,0.0,0
whole_body,6,35.41834340757228,41.457801719773734,0.9882283780224888,0.9923623772237231,0.9923623772237231,0.29979297518730164,1
