group,n,mean_artifact_score,mean_self_contact_frames_pct,mean_nonfoot_floor_contact_pct,mean_p95_contact_foot_speed_mps
K=1,105,0.2744452366006469,2.640740740740741,6.266666666666666,1.0812384853629655
K=8,105,0.24783706790100898,1.5275132275132275,4.622222222222223,0.9014153025228714
expressive_K=1,28,0.23934862651967917,1.8650793650793651,0.0,1.2682431589117489
expressive_K=8,28,0.22547615853610137,1.4285714285714286,0.0,1.0092493241249423
locomotion_K=1,56,0.23097122040101073,1.6736111111111112,0.0,1.1543029919157122
locomotion_K=8,56,0.22973738071885746,1.4474206349206349,0.0,0.9626937629754647
static_K=1,7,0.0037229315178398874,0.0,0.0,0.009307328794599721
static_K=8,7,0.0007479766155069527,0.0,0.0,0.0018699415387673816
whole_body_K=1,14,0.6538956741025306,9.380952380952381,46.99999999999999,0.9509366903385953
whole_body_K=8,14,0.48850218100218096,2.8095238095238098,34.66666666666667,0.8904060980004084
