clip,reference,K,frames,active_frames,fell,fall_frame,track_seconds,mean_tracking_rmse,mean_root_error,mean_action_norm,mean_torque_saturation_frac,final_root_z,init_reference_pose
hrb_055_pull_cart_backward_Kimodo,hrb_055_pull_cart_backward_Kimodo,1,199,199,False,199,3.98,0.12725307597180574,0.23040044872760654,9.465978164214592,0.0,0.7770175018953871,True
hrb_056_open_door_Kimodo,hrb_056_open_door_Kimodo,1,199,131,True,131,2.62,0.27584089195990363,0.28578745453513915,9.951958331960022,0.0,0.5470274083922513,True
hrb_057_close_door_Kimodo,hrb_057_close_door_Kimodo,1,199,199,False,199,3.98,0.08057268321055577,0.016791498531230374,11.156617172864516,0.0,0.7813691623030797,True
hrb_058_handoff_give_Kimodo,hrb_058_handoff_give_Kimodo,1,199,199,False,199,3.98,0.0977479459870066,0.024744875305776758,6.021397535146608,0.0,0.7848911272005108,True
hrb_059_handoff_receive_Kimodo,hrb_059_handoff_receive_Kimodo,1,199,199,False,199,3.98,0.08112260422709297,0.03618316096045357,8.565373443428676,0.0,0.7855686277862088,True
hrb_060_drag_object_Kimodo,hrb_060_drag_object_Kimodo,1,199,199,False,199,3.98,0.14389643331164048,0.10031729597353416,8.506806134317333,0.0,0.7510962551334397,True
hrb_061_carry_turn_Kimodo,hrb_061_carry_turn_Kimodo,1,199,95,True,95,1.9000000000000001,0.6227924795383523,0.45339472421043303,21.813077686245396,0.0,0.533428139660389,True
hrb_062_inspect_machine_Kimodo,hrb_062_inspect_machine_Kimodo,1,199,199,False,199,3.98,0.1477625498873006,0.4250581770013226,8.618181519362942,0.0,0.7845648078349932,True
hrb_063_open_drawer_Kimodo,hrb_063_open_drawer_Kimodo,1,199,65,True,65,1.3,0.16093721074723633,0.06097315458965481,8.62554667322279,0.0,0.546845194416751,True
hrb_064_loaded_recovery_step_Kimodo,hrb_064_loaded_recovery_step_Kimodo,1,199,184,True,184,3.68,0.2197345875641285,0.9459929878221768,12.794141717844441,0.0,0.5487078721360709,True
hrb_065_single_leg_balance_right_Kimodo,hrb_065_single_leg_balance_right_Kimodo,1,199,199,False,199,3.98,0.11614595003000168,0.03761801715385086,5.14299745496023,0.0,0.7755439502576043,True
hrb_066_single_leg_balance_left_Kimodo,hrb_066_single_leg_balance_left_Kimodo,1,199,199,False,199,3.98,0.11021855030565891,0.03001686687641618,4.460023262245603,0.0,0.7842992850950461,True
hrb_067_stumble_forward_Kimodo,hrb_067_stumble_forward_Kimodo,1,199,199,False,199,3.98,0.21857877297273753,0.942967394473172,10.87117953921856,0.0,0.6204732449536208,True
